entry,entry_id
TLK2,TLK2
AXL,AXL
CBLC,CBLC
RICTOR,RICTOR
CALR,CALR
CBLB,CBLB
BARD1,BARD1
DUSP6,DUSP6
GATA1,GATA1
DEK,DEK
ETV5,ETV5
BCOR,BCOR
CASP8,CASP8
SSX4,SSX4
NQO1,NQO1
HDAC6,HDAC6
MERTK,MERTK
FOXL2,FOXL2
MDM4,MDM4
ERCC1,ERCC1
SPOP,SPOP
BIRC7,BIRC7
ARID2,ARID2
GNAQ,GNAQ
KMT2A,KMT2A
PIK3R2,PIK3R2
BCL2,BCL2
PTPRD,PTPRD
ETV1,ETV1
NT5E,NT5E
AKT3,AKT3
CBL,CBL
PARP1,PARP1
MIR21,MIR21
DDX43,DDX43
FOS,FOS
TP53,TP53
SPHK1,SPHK1
BLK,BLK
SMO,SMO
MYCN,MYCN
RPS6,RPS6
PRDM1,PRDM1
TLX3,TLX3
CTAG1B,CTAG1B
MEF2D,MEF2D
MLH1,MLH1
MTHFR,MTHFR
EREG,EREG
CDKN2A,CDKN2A
HSPA5,HSPA5
TACSTD2,TACSTD2
FOXP1,FOXP1
TBK1,TBK1
HDAC9,HDAC9
CCND2,CCND2
VHL,VHL
RRM1,RRM1
ABCG2,ABCG2
CD19,CD19
FGF13,FGF13
MITF,MITF
JAK2,JAK2
CCNE1,CCNE1
NFE2L2,NFE2L2
RAD23B,RAD23B
KDM5C,KDM5C
PTPRT,PTPRT
HIF1A,HIF1A
PSMB8,PSMB8
PTK2B,PTK2B
BACH2,BACH2
ALDH1A2,ALDH1A2
RAC1,RAC1
KMT2D,KMT2D
NAPRT,NAPRT
FCGR3A,FCGR3A
CHEK1,CHEK1
CDKN1A,CDKN1A
PIK3CA,PIK3CA
CFLAR,CFLAR
PCNA,PCNA
MMP2,MMP2
U2AF1,U2AF1
ASS1,ASS1
IDH2,IDH2
CDK2,CDK2
FANCC,FANCC
YAP1,YAP1
DEFA1,DEFA1
TEK,TEK
H3C2,H3C2
CX3CL1,CX3CL1
FGFR4,FGFR4
GADD45A,GADD45A
CD79B,CD79B
PTEN,PTEN
PBLD,PBLD
SLFN11,SLFN11
STAT1,STAT1
RRM2,RRM2
ARAF,ARAF
CBFA2T3,CBFA2T3
PDGFRA,PDGFRA
