entry,entry_id
CRTAP,HGNC:2379
AMH,HGNC:464
LIG4,HGNC:6601
ILDR1,HGNC:28741
MS4A1,HGNC:7315
GRIK4,HGNC:4582
AQP5,HGNC:638
ZWILCH,HGNC:25468
CD36,HGNC:1663
VPS13D,HGNC:23595
NDUFS4,HGNC:7711
LEMD3,HGNC:28887
ARID2,HGNC:18037
SLC37A4,HGNC:4061
FGD1,HGNC:3663
PRRT2,HGNC:30500
IKZF2,HGNC:13177
TRIOBP,HGNC:17009
XRCC1,HGNC:12828
DYSF,HGNC:3097
CEBPA,HGNC:1833
COL4A3,HGNC:2204
SPP2,HGNC:11256
MRPS16,HGNC:14048
OXCT1,HGNC:8527
SMAD4,HGNC:6770
OGT,HGNC:8127
GNAS,HGNC:4392
FOXC1,HGNC:3800
NEFH,HGNC:7737
NOD2,HGNC:5331
IRAK4,HGNC:17967
PLOD3,HGNC:9083
DLAT,HGNC:2896
NDUFA4,HGNC:7687
TCF3,HGNC:11633
SLC22A14,HGNC:8495
NOTCH1,HGNC:7881
RABL2A,HGNC:9799
ROR2,HGNC:10257
GNRH1,HGNC:4419
CTSA,HGNC:9251
SIX3,HGNC:10889
TNNC2,HGNC:11944
SIX4,HGNC:10890
COL18A1,HGNC:2195
ATIC,HGNC:794
ADAM9,HGNC:216
LSS,HGNC:6708
SLC25A46,HGNC:25198
ATRX,HGNC:886
MYH2,HGNC:7572
FAM20C,HGNC:22140
ACSF3,HGNC:27288
IDH3B,HGNC:5385
TCF7L2,HGNC:11641
SOX8,HGNC:11203
DCHS1,HGNC:13681
NIPBL,HGNC:28862
CACNA2D4,HGNC:20202
ILK,HGNC:6040
KCNB1,HGNC:6231
RIPOR2,HGNC:13872
OPTN,HGNC:17142
SCN3A,HGNC:10590
AP4E1,HGNC:573
CD3E,HGNC:1674
JARID2,HGNC:6196
CERT1,HGNC:2205
MGP,HGNC:7060
SZT2,HGNC:29040
LRPPRC,HGNC:15714
ANO5,HGNC:27337
CYP27A1,HGNC:2605
SERPINI1,HGNC:8943
GALNT12,HGNC:19877
NDUFS7,HGNC:7714
L3MBTL1,HGNC:15905
HNF1B,HGNC:11630
AVPR2,HGNC:897
CAV3,HGNC:1529
FANCG,HGNC:3588
WHRN,HGNC:16361
COL1A1,HGNC:2197
HAS3,HGNC:4820
GNAT2,HGNC:4394
HPS3,HGNC:15597
TNFRSF13C,HGNC:17755
LMNB1,HGNC:6637
CTNNA1,HGNC:2509
SALL1,HGNC:10524
IGBP1,HGNC:5461
PHKB,HGNC:8927
DNAAF3,HGNC:30492
CCBE1,HGNC:29426
TYMS,HGNC:12441
LCK,HGNC:6524
FCGR3A,HGNC:3619
KCTD7,HGNC:21957
MRPS22,HGNC:14508
PLEKHM2,HGNC:29131
RXFP2,HGNC:17318
PTPRJ,HGNC:9673
ANKH,HGNC:15492
ZNF141,HGNC:12926
SH2D1A,HGNC:10820
SH2B1,HGNC:30417
PHF2,HGNC:8920
AMT,HGNC:473
EZH2,HGNC:3527
C2CD3,HGNC:24564
SMARCAL1,HGNC:11102
OCA2,HGNC:8101
FBP1,HGNC:3606
SHANK3,HGNC:14294
PDE6A,HGNC:8785
SPINK5,HGNC:15464
CYLD,HGNC:2584
DNAJC28,HGNC:1297
TAF13,HGNC:11546
RBM20,HGNC:27424
KARS1,HGNC:6215
HSPB8,HGNC:30171
LYRM7,HGNC:28072
HAND1,HGNC:4807
PEX1,HGNC:8850
HSPG2,HGNC:5273
CDC14A,HGNC:1718
BUB1B,HGNC:1149
CTSD,HGNC:2529
SGSH,HGNC:10818
BAG3,HGNC:939
RIT1,HGNC:10023
MYOC,HGNC:7610
BSND,HGNC:16512
FAR1,HGNC:26222
KLF2,HGNC:6347
MPZL2,HGNC:3496
NF1,HGNC:7765
SURF1,HGNC:11474
BRPF1,HGNC:14255
CEBPE,HGNC:1836
CADPS2,HGNC:16018
CAMK2B,HGNC:1461
WARS2,HGNC:12730
RMRP,HGNC:10031
UPK3A,HGNC:12580
DYNC1H1,HGNC:2961
GAS1,HGNC:4165
MATR3,HGNC:6912
SPTAN1,HGNC:11273
TBX22,HGNC:11600
RAD50,HGNC:9816
EEF1A2,HGNC:3192
H6PD,HGNC:4795
PIGW,HGNC:23213
KCNJ11,HGNC:6257
CCDC8,HGNC:25367
C19orf12,HGNC:25443
NEDD9,HGNC:7733
TUBGCP6,HGNC:18127
FMO3,HGNC:3771
RAD51D,HGNC:9823
NBAS,HGNC:15625
CTCF,HGNC:13723
CFL2,HGNC:1875
TRIP12,HGNC:12306
KLK1,HGNC:6357
ARMC2,HGNC:23045
DTNA,HGNC:3057
MLPH,HGNC:29643
SEC14L4,HGNC:20627
ERCC6L2,HGNC:26922
TCIRG1,HGNC:11647
ARCN1,HGNC:649
PROKR2,HGNC:15836
SNAI2,HGNC:11094
CTH,HGNC:2501
RANGRF,HGNC:17679
ASPH,HGNC:757
DISP1,HGNC:19711
MRPL3,HGNC:10379
CNOT3,HGNC:7879
CNNM4,HGNC:105
USP9X,HGNC:12632
GRN,HGNC:4601
MAPK8IP3,HGNC:6884
WASHC5,HGNC:28984
PDSS2,HGNC:23041
PHF3,HGNC:8921
NAT8L,HGNC:26742
KLF10,HGNC:11810
MT-ND1,HGNC:7455
AGT,HGNC:333
EGFR,HGNC:3236
ARPC1B,HGNC:704
TMCO1,HGNC:18188
CYS1,HGNC:18525
FGF3,HGNC:3681
MPIG6B,HGNC:13937
BPY2,HGNC:13508
CHD1L,HGNC:1916
CSTB,HGNC:2482
TJP2,HGNC:11828
PSD3,HGNC:19093
BPHL,HGNC:1094
DGUOK,HGNC:2858
KYNU,HGNC:6469
PEPD,HGNC:8840
HEXB,HGNC:4879
GM2A,HGNC:4367
VWF,HGNC:12726
NDUFA11,HGNC:20371
SI,HGNC:10856
OTC,HGNC:8512
CASR,HGNC:1514
SPINK1,HGNC:11244
NLGN3,HGNC:14289
