entry,entry_id
C2orf42,C2orf42
CCT2,CCT2
UGT2B15,UGT2B15
VPS37D,VPS37D
MAP2K4,MAP2K4
PPCDC,PPCDC
KLK9,KLK9
PPM1D,PPM1D
APOC4,APOC4
RINL,RINL
TRBV10-1,TRBV10-1
SNX3,SNX3
CTNNA2,CTNNA2
KCNJ6,KCNJ6
FOXN2,FOXN2
KRT24,KRT24
FBXO2,FBXO2
SGTA,SGTA
SEPT10,SEPT10
LRRC2,LRRC2
TRDV1,TRDV1
GJD3,GJD3
RNF222,RNF222
VSTM2B,VSTM2B
CXorf21,CXorf21
XPNPEP2,XPNPEP2
CLCA4,CLCA4
HGNC:22364,HGNC:22364
HGNC:48332,HGNC:48332
TAP1,TAP1
DPP10,DPP10
MLF1,MLF1
C4orf46,C4orf46
CWF19L1,CWF19L1
MSMO1,MSMO1
DDX19A,DDX19A
DAP3,DAP3
TRIM44,TRIM44
MMD,MMD
KANSL1,KANSL1
PRDM15,PRDM15
ODF2,ODF2
SRSF1,SRSF1
CDC27,CDC27
ADGRF4,ADGRF4
CDC5L,CDC5L
GNAQ,GNAQ
PCSK9,PCSK9
ACSL1,ACSL1
SERPINH1,SERPINH1
CSGALNACT1,CSGALNACT1
NHLRC4,NHLRC4
CT47B1,CT47B1
POLD2,POLD2
DHFR2,DHFR2
VPS35,VPS35
CEP57L1,CEP57L1
PGA3,PGA3
GRM6,GRM6
FCHSD1,FCHSD1
ADORA1,ADORA1
GRAMD2A,GRAMD2A
ENSG00000266086,ENSG00000266086
CRX,CRX
PNPLA4,PNPLA4
AKT3,AKT3
ALDH1L2,ALDH1L2
PARP9,PARP9
LRFN3,LRFN3
MAU2,MAU2
BTBD6,BTBD6
ARHGEF7,ARHGEF7
NTNG2,NTNG2
IGHV3OR16-13,IGHV3OR16-13
ERBIN,ERBIN
CHST15,CHST15
PPP1R1C,PPP1R1C
TYW1,TYW1
ROMO1,ROMO1
MSTN,MSTN
SIX2,SIX2
MGA,MGA
ALX3,ALX3
TP53,TP53
XKR4,XKR4
CD300LF,CD300LF
TMEM249,TMEM249
HGNC:24660,HGNC:24660
IGKV6-21,IGKV6-21
RSG1,RSG1
BZW1,BZW1
LRMDA,LRMDA
SBK2,SBK2
CDON,CDON
ATXN2L,ATXN2L
MYO1C,MYO1C
PRKAG1,PRKAG1
CD163,CD163
RPL26L1,RPL26L1
MAP3K4,MAP3K4
ZNF580,ZNF580
HAP1,HAP1
LAMA3,LAMA3
GADL1,GADL1
LIPT1,LIPT1
POLE3,POLE3
C12orf74,C12orf74
TPPP3,TPPP3
NFYB,NFYB
EDC4,EDC4
GTF2H2,GTF2H2
SLC22A7,SLC22A7
RILPL1,RILPL1
CPA3,CPA3
GGNBP2,GGNBP2
HSPA5,HSPA5
SERTAD4,SERTAD4
UMODL1,UMODL1
ORC3,ORC3
NFATC2,NFATC2
EFCAB11,EFCAB11
ARPIN,ARPIN
PIGV,PIGV
MAGEF1,MAGEF1
PSG2,PSG2
NFKBIE,NFKBIE
GMPR,GMPR
SLC9A7,SLC9A7
ASB11,ASB11
HNRNPU,HNRNPU
RCN3,RCN3
TAZ,TAZ
ACACB,ACACB
SEPT11,SEPT11
CIPC,CIPC
USP9Y,USP9Y
IDO2,IDO2
ONECUT2,ONECUT2
CHRNB4,CHRNB4
TMEM171,TMEM171
CAPN7,CAPN7
LIMK2,LIMK2
RGS20,RGS20
FOPNL,FOPNL
GCN1,GCN1
EDEM2,EDEM2
CATSPER4,CATSPER4
SLC22A10,SLC22A10
RAB13,RAB13
BTBD7,BTBD7
EHF,EHF
MRPS18B,MRPS18B
TIMM17A,TIMM17A
ELP6,ELP6
SLIT2,SLIT2
ADRA2C,ADRA2C
ANK2,ANK2
ZNF30,ZNF30
EMC3,EMC3
SNRPB,SNRPB
ABCF1,ABCF1
TLK1,TLK1
TIMP3,TIMP3
FTO,FTO
R3HDM4,R3HDM4
OAF,OAF
NAPRT,NAPRT
APTX,APTX
HGNC:1277,HGNC:1277
SLC15A4,SLC15A4
BCKDHA,BCKDHA
KIAA1211L,KIAA1211L
HGNC:26744,HGNC:26744
HSPE1-MOB4,HSPE1-MOB4
DUSP13,DUSP13
NUBP2,NUBP2
DUSP14,DUSP14
ZNF146,ZNF146
CHMP4B,CHMP4B
HGNC:23821,HGNC:23821
GBX2,GBX2
ALOX5,ALOX5
AP2B1,AP2B1
GIPC3,GIPC3
RNF182,RNF182
PHF8,PHF8
PNRC2,PNRC2
OSBPL11,OSBPL11
RPSA,RPSA
EMC10,EMC10
UTP18,UTP18
ARHGEF40,ARHGEF40
RXRA,RXRA
MRPS26,MRPS26
AFG1L,AFG1L
RPL34,RPL34
KRT222,KRT222
SF3A1,SF3A1
TSACC,TSACC
HELLS,HELLS
FFAR4,FFAR4
NPIPB13,NPIPB13
DTD1,DTD1
CDAN1,CDAN1
CYGB,CYGB
LAIR2,LAIR2
TYW3,TYW3
LDOC1,LDOC1
SENP2,SENP2
RNASEK,RNASEK
EEF1E1-BLOC1S5,EEF1E1-BLOC1S5
C19orf71,C19orf71
NXPE2,NXPE2
ESYT1,ESYT1
PRDM8,PRDM8
RBM11,RBM11
OR6N1,OR6N1
CAMK1D,CAMK1D
ZNF121,ZNF121
TMEM239,TMEM239
ILF3,ILF3
HNF4A,HNF4A
WHAMM,WHAMM
SFMBT2,SFMBT2
CMTM1,CMTM1
CLGN,CLGN
RAPGEF1,RAPGEF1
GNL3,GNL3
CCL4,CCL4
TMEM131L,TMEM131L
RASD1,RASD1
TEDC1,TEDC1
TACR2,TACR2
RSPRY1,RSPRY1
RPL13A,RPL13A
KMT2E,KMT2E
PDZD4,PDZD4
