hgnc_id	approved_symbol	approved_name	status	previous_symbols	alias_symbols	accession_numbers	refseq_ids	alias_names	ensembl_gene_id	ncbi_gene_id
HGNC:5	A1BG	alpha-1-B glycoprotein	Approved				NM_130786		ENSG00000121410	1
HGNC:37133	A1BG-AS1	A1BG antisense RNA 1	Approved	"NCRNA00181, A1BGAS, A1BG-AS"	FLJ23569	BC040926	NR_015380		ENSG00000268895	503538
HGNC:24086	A1CF	APOBEC1 complementation factor	Approved		"ACF, ASP, ACF64, ACF65, APOBEC1CF"	AF271790	NM_014576		ENSG00000148584	29974
HGNC:7	A2M	alpha-2-macroglobulin	Approved		"FWP007, S863-7, CPAMD5"	"BX647329, X68728, M11313"	NM_000014		ENSG00000175899	2
HGNC:27057	A2M-AS1	A2M antisense RNA 1	Approved				NR_026971		ENSG00000245105	144571
HGNC:23336	A2ML1	alpha-2-macroglobulin like 1	Approved	CPAMD9	"FLJ25179, p170"	AK057908	NM_144670		ENSG00000166535	144568
HGNC:41022	A2ML1-AS1	A2ML1 antisense RNA 1	Approved						ENSG00000256661	
HGNC:41523	A2ML1-AS2	A2ML1 antisense RNA 2	Approved						ENSG00000256904	
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	Approved	A2MP		M24415	NG_001067		ENSG00000256069	3
HGNC:30005	A3GALT2	"alpha 1,3-galactosyltransferase 2"	Approved	A3GALT2P	"IGBS3S, IGB3S"		NM_001080438	"iGb3 synthase, ""isoglobotriaosylceramide synthase"""	ENSG00000184389	127550
HGNC:18149	A4GALT	"alpha 1,4-galactosyltransferase (P blood group)"	Approved	P1	"A14GALT, Gb3S, P(k)"		NM_017436	"Gb3 synthase, ""CD77 synthase"", ""globotriaosylceramide synthase"", ""lactosylceramide 4-alpha-galactosyltransferase"""	ENSG00000128274	53947
HGNC:17968	A4GNT	"alpha-1,4-N-acetylglucosaminyltransferase"	Approved		alpha4GnT	AF141315	NM_016161		ENSG00000118017	51146
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved			AJ289841		"aladin, ""Allgrove, triple-A"", ""adracalin"""	ENSG00000094914	8086
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved		"FLJ12389, SUR-5, ACSF1"	AK022451	NM_023928	acyl-CoA synthetase family member 1	ENSG00000081760	65985
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	AACSL			NR_024035		ENSG00000250420	729522
HGNC:17	AADAC	arylacetamide deacetylase	Approved		"DAC, CES5A1"	L32179	NM_001086		ENSG00000114771	13
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved		MGC72001	BC065724	NM_207365		ENSG00000197953	344752
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved						ENSG00000242908	101928142
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved		OTTHUMG00000001887		NM_001103170		ENSG00000188984	126767
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved		OTTHUMG00000001889		NM_001013630		ENSG00000204518	343066
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved						ENSG00000240602	201651
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved		"KATII, KAT2, KYAT2"	AF097994	NM_016228	"kynurenine aminotransferase II, ""L kynurenine/alpha aminoadipate aminotransferase"""	ENSG00000109576	51166
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved		"FLJ11506, p34"	AL136715	NM_024666		ENSG00000103591	79719
HGNC:19679	AAK1	AP2 associated kinase 1	Approved		"KIAA1048, DKFZp686K16132"	AB028971	NM_014911		ENSG00000115977	22848
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	C11orf67	"PTD015, FLJ21035, CK067"	BC016854	NM_024684		ENSG00000087884	28971
HGNC:18	AAMP	angio associated migratory cell protein	Approved			AB209790	NM_001087		ENSG00000127837	14
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved		SNAT	U40347	NM_001088	serotonin N-acetyltransferase	ENSG00000129673	15
HGNC:15886	AAR2	AAR2 splicing factor	Approved	C20orf4	bA234K24.2		NM_015511		ENSG00000131043	25980
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	C8orf85	LOC441376	"AB181519, BC140924"	NM_001025357	Alanine and arginine-rich domain-containing protein	ENSG00000205002	441376
HGNC:20	AARS1	alanyl-tRNA synthetase 1	Approved	AARS	"CMT2N, AlaRS"	D32050	NM_001605	"alanine tRNA ligase 1, cytoplasmic"	ENSG00000090861	16
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	Approved	AARSP1					ENSG00000249038	106480683
